country,listed_in
United Kingdom,"British TV Shows, TV Horror, TV Thrillers"
"France, Egypt","Dramas, International Movies"
Argentina,"Comedies, Cult Movies, International Movies"
Malaysia,"Kids' TV, TV Comedies"
Poland,"Horror Movies, International Movies"
Mexico,"Action & Adventure, Independent Movies"
"United Kingdom, United States",Documentaries
United States,"Comedies, LGBTQ Movies"
Argentina,Stand-Up Comedy
United States,"TV Action & Adventure, TV Comedies, TV Horror"
Taiwan,"International TV Shows, Romantic TV Shows"
"Canada, United Kingdom","Documentaries, International Movies"
Jordan,"International TV Shows, TV Dramas, TV Mysteries"
Japan,"Anime Features, Children & Family Movies"
Canada,"Comedies, Independent Movies"
"Ghana, United States","Dramas, Independent Movies, International Movies"
United States,"Crime TV Shows, Docuseries, International TV Shows"
India,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
Canada,Thrillers
United Kingdom,Comedies
"Spain, France, United States","Dramas, International Movies, Thrillers"
Nigeria,"International TV Shows, Romantic TV Shows, TV Dramas"
"","Documentaries, Sports Movies"
Japan,"Anime Features, Music & Musicals, Sci-Fi & Fantasy"
South Korea,"International Movies, Sci-Fi & Fantasy, Thrillers"
United States,"Action & Adventure, Horror Movies, Independent Movies"
"United Kingdom, Singapore","Kids' TV, TV Comedies"
Colombia,"Dramas, Independent Movies, International Movies"
"United Kingdom, France, Belgium, Canada, United States","Comedies, Dramas, Independent Movies"
Australia,"Children & Family Movies, Sports Movies"
France,"Documentaries, International Movies, Music & Musicals"
United States,"Romantic TV Shows, TV Comedies, TV Dramas"
Thailand,"Horror Movies, International Movies, Romantic Movies"
"Norway, United Kingdom, France, Ireland","Dramas, International Movies"
"United States, Mexico, Spain, Malta","Crime TV Shows, TV Action & Adventure, TV Dramas"
"United States, South Africa",Action & Adventure
United States,"Children & Family Movies, Dramas"
United Kingdom,"British TV Shows, Docuseries"
Turkey,"Dramas, International Movies, Thrillers"
"United States, Canada","Crime TV Shows, TV Dramas, TV Mysteries"
Philippines,"Dramas, Independent Movies, International Movies"
Australia,"Children & Family Movies, Comedies"
Israel,"Comedies, International Movies"
"United Kingdom, Ireland","British TV Shows, Crime TV Shows, TV Dramas"
"France, United States","Crime TV Shows, TV Action & Adventure, TV Thrillers"
"Chile, Spain, Argentina, Germany","Dramas, International Movies"
"United Kingdom, United States","Dramas, Music & Musicals, Romantic Movies"
United States,Comedies
"India, United States","Action & Adventure, Dramas, International Movies"
Colombia,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Nigeria,"Dramas, International Movies, Music & Musicals"
"United Kingdom, France, United States","Dramas, International Movies, Thrillers"
India,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
Uruguay,"Documentaries, International Movies, Music & Musicals"
"Israel, Germany, France","Dramas, Independent Movies, International Movies"
"United States, United Kingdom, Germany","Action & Adventure, Dramas, Sci-Fi & Fantasy"
Brazil,"Docuseries, International TV Shows, Reality TV"
Romania,"Comedies, International Movies"
United States,Docuseries
Japan,"International TV Shows, TV Dramas"
South Africa,"Comedies, Dramas, International Movies"
"Pakistan, Norway, United States","Dramas, Independent Movies, International Movies"
"United States, Italy",Kids' TV
"Poland, West Germany","Horror Movies, International Movies, Thrillers"
"United States, United Kingdom","Documentaries, International Movies"
"Canada, Australia",Kids' TV
United Kingdom,"British TV Shows, Classic & Cult TV, Kids' TV"
"United Kingdom, Belgium","Action & Adventure, Sci-Fi & Fantasy"
